aid,field,pub_date,snap_ts,downloads,abstract_views
3565671,Decision Sciences,2020-01-01,20241106063316,49,703
2980278,Business; Management and Accounting,2017-01-01,20251101194243,78,1307
4770415,Engineering,2024-01-01,20250430034146,22,104
311586,Agricultural and Biological Sciences,2002-01-01,20251108091400,783,4731
4322054,Computer Science,2023-01-01,20250516013751,135,605
1640961,Psychology,2010-01-01,20260606040136,115,1208
1943706,Social Sciences,2011-01-01,20250425171747,82,558
5122158,Pharmacology; Toxicology and Pharmaceutics,2025-01-01,20250429125145,3,117
4748596,Biochemistry; Genetics and Molecular Biology,2024-01-01,20250502162605,23,104
4912328,Engineering,2024-01-01,20250619213121,22,165
2393324,Economics; Econometrics and Finance,2014-01-01,20250426082855,87,753
2636927,Business; Management and Accounting,2015-01-01,20260208075848,4763,13014
4748610,Environmental Science,2024-01-01,20250430081737,33,127
3423413,Economics; Econometrics and Finance,2019-01-01,20250511085729,914,4605
2131406,Social Sciences,2012-01-01,20250426032054,230,891
4965243,Computer Science,2024-01-01,20250909001621,151,732
3817794,Engineering,2021-01-01,20240429060403,67,373
4681974,Energy,2024-01-01,20250430050015,16,160
4234365,Engineering,2022-01-01,20250505113816,55,330
3847692,Economics; Econometrics and Finance,2021-01-01,20250506010618,820,3120
4299461,Economics; Econometrics and Finance,2022-01-01,20250506083135,215,1137
2953960,Social Sciences,2017-01-01,20250425213858,947,3219
5210407,Environmental Science,2025-01-01,20250429215937,17,59
4590185,Engineering,2023-01-01,20240414205119,41,110
2285455,Social Sciences,2013-01-01,20250426064155,35,576
4723765,Dentistry,2024-01-01,20260204073603,123,777
3747276,Arts and Humanities,2020-01-01,20250506152541,47,286
4658071,Agricultural and Biological Sciences,2023-01-01,20250503110724,16,127
5020458,Computer Science,2024-01-01,20250430162907,39,152
3926785,Economics; Econometrics and Finance,2021-01-01,20251210081455,86,544
4311813,Business; Management and Accounting,2023-01-01,20250503215240,144,627
1996693,Economics; Econometrics and Finance,2012-01-01,20241115051505,169,1065
4137374,Medicine,2022-01-01,20250505095731,86,398
4226726,Engineering,2022-01-01,20250507044344,51,292
5146241,Materials Science,2025-01-01,20250429204647,9,52
1814483,Economics; Econometrics and Finance,2011-01-01,20250427131708,172,991
1114346,Social Sciences,2008-01-01,20251127022152,234,1770
5095473,Engineering,2025-01-01,20250502122721,11,98
3997388,Economics; Econometrics and Finance,2019-01-01,20250918161639,122,548
2445476,Social Sciences,2013-01-01,20240918212328,49,557
1770366,Computer Science,2011-01-01,20231203050343,73,999
5704581,Physics and Astronomy,2025-01-01,20251119220531,8,58
5026858,Social Sciences,2024-01-01,20250501105922,28,191
2723249,Arts and Humanities,2016-01-01,20200326222716,12,224
2411542,Medicine,2014-01-01,20250425200710,182,952
787667,Business; Management and Accounting,2005-01-01,20250425145319,127,1002
1945827,Social Sciences,2011-01-01,20250925133236,241,1656
4083968,Environmental Science,2022-01-01,20250505043019,53,421
5003540,Materials Science,2024-01-01,20250502171151,11,42
5132520,Materials Science,2025-01-01,20250430053007,40,79
2974489,Engineering,2017-01-01,20250508065532,3,628
3014376,Social Sciences,2017-01-01,20250426010356,71,517
3510448,Psychology,2019-01-01,20250506165201,41,480
4765009,Economics; Econometrics and Finance,2024-01-01,20250516014602,108,387
4604305,Biochemistry; Genetics and Molecular Biology,2023-01-01,20250506123453,23,139
4116342,Business; Management and Accounting,2022-01-01,20250505155812,49,410
4682813,Economics; Econometrics and Finance,2024-01-01,20250430045446,43,256
3844406,Economics; Econometrics and Finance,2021-01-01,20250822191746,164,796
5806916,Medicine,2025-01-01,20251204044417,7,33
2617120,Social Sciences,2015-01-01,20250426083246,101,960
3919883,Social Sciences,2021-01-01,20250506222312,117,679
296699,Social Sciences,2002-01-01,20250421235156,177,1417
1018513,Economics; Econometrics and Finance,2007-01-01,20250426165927,284,2959
4943288,Energy,2024-01-01,20250430030142,37,121
2588547,Economics; Econometrics and Finance,2015-01-01,20250425215018,858,4569
4930996,Agricultural and Biological Sciences,2024-01-01,20250502162513,24,95
4965576,Energy,2024-01-01,20250616005307,37,162
991356,Business; Management and Accounting,2007-01-01,20250426165253,338,2660
4382247,Social Sciences,2023-01-01,20250503235107,81,318
2576429,Social Sciences,2015-01-01,20250418210328,707,5373
5614286,Materials Science,2025-01-01,20251019233528,2,10
1433277,Business; Management and Accounting,2009-01-01,20221010122606,230,1951
4572637,Agricultural and Biological Sciences,2023-01-01,20240429211549,15,86
5197480,Environmental Science,2025-01-01,20250501084017,16,53
1261923,Economics; Econometrics and Finance,2008-01-01,20251228205342,154,1282
4489633,Health Professions,2023-01-01,20250503111049,35,271
2537430,Business; Management and Accounting,2014-01-01,20251228085838,227,2027
3282462,Social Sciences,2018-01-01,20240916092013,44,513
4206300,Social Sciences,2022-01-01,20250505152201,22,161
2383389,Agricultural and Biological Sciences,2014-01-01,20250910041125,90,716
